iter	Passed	Remaining
0	2	2615
1	4	2440
2	6	2324
3	8	2206
4	11	2215
5	12	2144
6	15	2164
7	17	2149
8	19	2155
9	21	2121
10	23	2102
11	25	2077
12	27	2068
13	28	2039
14	30	2017
15	32	2003
16	34	1995
17	36	1983
18	38	1973
19	40	1982
20	42	1975
21	44	1974
22	46	1970
23	48	1976
24	50	1970
25	52	1962
26	54	1954
27	56	1954
28	58	1960
29	60	1951
30	62	1949
31	64	1939
32	65	1929
33	67	1920
34	69	1913
35	71	1908
36	73	1914
37	75	1915
38	77	1909
39	79	1904
40	81	1896
41	82	1892
42	84	1884
43	86	1885
44	88	1887
45	90	1882
46	92	1877
47	94	1874
48	96	1871
49	98	1869
50	100	1862
51	101	1856
52	103	1852
53	106	1857
54	108	1858
55	109	1851
56	111	1848
57	113	1844
58	115	1837
59	116	1830
60	118	1825
61	120	1819
62	121	1813
63	123	1812
64	125	1809
65	127	1809
66	129	1805
67	131	1803
68	133	1798
69	135	1797
70	137	1794
71	140	1806
72	142	1806
73	144	1802
74	146	1801
75	147	1795
76	149	1790
77	150	1783
78	152	1783
79	154	1780
80	156	1776
81	158	1774
82	159	1760
83	161	1756
84	162	1754
85	164	1751
86	166	1749
87	168	1750
88	171	1752
89	173	1753
90	175	1752
91	177	1749
92	178	1744
93	180	1742
94	182	1738
95	184	1737
96	186	1734
97	188	1730
98	189	1725
99	191	1722
100	193	1719
101	194	1715
102	196	1713
103	199	1715
104	201	1713
105	202	1710
106	205	1711
107	206	1706
108	208	1704
109	210	1702
110	212	1703
111	214	1702
112	216	1699
113	218	1695
114	219	1691
115	221	1687
116	222	1682
117	224	1680
118	226	1679
119	228	1675
120	230	1675
121	232	1670
122	234	1668
123	235	1666
124	238	1666
125	240	1666
126	241	1663
127	243	1659
128	245	1655
129	246	1651
130	248	1650
131	250	1650
132	252	1646
133	254	1644
134	256	1642
135	257	1637
136	259	1634
137	261	1632
138	262	1628
139	264	1626
140	266	1625
141	268	1622
142	270	1622
143	272	1619
144	274	1617
145	275	1613
146	277	1612
147	279	1610
148	281	1610
149	284	1610
150	286	1610
151	288	1608
152	289	1604
153	291	1601
154	293	1598
155	295	1596
156	296	1593
157	298	1590
158	300	1588
159	302	1587
160	303	1582
161	305	1582
162	307	1580
163	309	1578
164	311	1577
165	313	1577
166	315	1575
167	317	1573
168	319	1571
169	321	1570
170	323	1567
171	325	1565
172	327	1564
173	329	1563
174	331	1561
175	332	1558
176	334	1557
177	336	1555
178	338	1553
179	340	1550
180	342	1549
181	344	1547
182	347	1549
183	348	1547
184	350	1546
185	352	1544
186	355	1543
187	357	1542
188	359	1540
189	361	1540
190	363	1538
191	365	1536
192	367	1535
193	369	1534
194	370	1531
195	372	1529
196	374	1527
197	376	1525
198	378	1523
199	380	1523
200	382	1520
201	384	1519
202	386	1517
203	388	1515
204	390	1513
205	392	1511
206	394	1510
207	396	1509
208	398	1506
209	400	1505
210	401	1503
211	403	1501
212	405	1499
213	408	1498
214	410	1497
215	412	1495
216	414	1494
217	415	1491
218	417	1488
219	419	1487
220	421	1485
221	423	1483
222	424	1480
223	427	1479
224	428	1476
225	430	1474
226	432	1473
227	434	1470
228	436	1468
229	437	1466
230	439	1464
231	441	1462
232	443	1461
233	445	1459
234	447	1457
235	449	1455
236	451	1454
237	453	1452
238	455	1449
239	457	1447
240	458	1444
241	460	1441
242	462	1439
243	464	1438
244	465	1435
245	467	1432
246	469	1430
247	470	1428
248	472	1426
249	475	1426
250	477	1424
251	479	1422
252	481	1421
253	483	1419
254	485	1417
255	486	1415
256	489	1414
